graph_name;graph_size;edge_percentage;elapsed_time;num_threads
graphs/graph_s14000_p75.grf;14000;74;1.744692;6
graphs/graph_s14500_p25.grf;14500;24;1.895554;6
graphs/graph_s14500_p50.grf;14500;49;1.914904;6
graphs/graph_s14500_p75.grf;14500;74;1.858535;6
graphs/graph_s15000_p25.grf;15000;24;1.993810;6
graphs/graph_s15000_p50.grf;15000;49;2.071860;6
graphs/graph_s15000_p75.grf;15000;74;2.009848;6
graphs/graph_s15500_p25.grf;15500;24;2.166219;6
graphs/graph_s15500_p50.grf;15500;49;2.226445;6
graphs/graph_s15500_p75.grf;15500;74;2.111176;6
graphs/graph_s40000_p25.grf;40000;24;14.389339;6
graphs/graph_s40000_p50.grf;40000;49;14.624183;6
graphs/graph_s40000_p75.grf;40000;74;14.241979;6
graphs/graph_s1000_p25.grf;1000;24;0.022122;6
graphs/graph_s1000_p50.grf;1000;49;0.021841;6
graphs/graph_s1000_p75.grf;1000;74;0.021579;6
graphs/graph_s1500_p25.grf;1500;24;0.034752;6
graphs/graph_s1500_p50.grf;1500;49;0.035769;6
graphs/graph_s1500_p75.grf;1500;74;0.036774;6
graphs/graph_s40500_p25.grf;40500;24;14.777701;6
graphs/graph_s40500_p50.grf;40500;49;15.080300;6
graphs/graph_s40500_p75.grf;40500;74;14.776169;6
graphs/graph_s41000_p25.grf;41000;24;15.275236;6
graphs/graph_s41000_p50.grf;41000;49;15.540211;6
graphs/graph_s41000_p75.grf;41000;74;15.085693;6
graphs/graph_s41500_p25.grf;41500;24;15.791627;6
graphs/graph_s41500_p50.grf;41500;49;16.271721;6
graphs/graph_s41500_p75.grf;41500;74;15.505377;6
graphs/graph_s42000_p25.grf;42000;24;16.164116;6
graphs/graph_s42000_p50.grf;42000;49;16.436160;6
graphs/graph_s42000_p75.grf;42000;74;15.884662;6
graphs/graph_s42500_p25.grf;42500;24;16.483627;6
graphs/graph_s42500_p50.grf;42500;49;16.946796;6
graphs/graph_s42500_p75.grf;42500;74;16.492252;6
graphs/graph_s43000_p25.grf;43000;24;16.969894;6
graphs/graph_s43000_p50.grf;43000;49;17.432891;6
graphs/graph_s43000_p75.grf;43000;74;16.938204;6
graphs/graph_s43500_p25.grf;43500;24;17.400827;6
graphs/graph_s43500_p50.grf;43500;49;18.025816;6
graphs/graph_s43500_p75.grf;43500;74;17.298302;6
graphs/graph_s44000_p25.grf;44000;24;17.961947;6
graphs/graph_s44000_p50.grf;44000;49;18.460214;6
graphs/graph_s44000_p75.grf;44000;74;17.982143;6
graphs/graph_s44500_p25.grf;44500;24;18.389082;6
graphs/graph_s44500_p50.grf;44500;49;18.981704;6
graphs/graph_s44500_p75.grf;44500;74;18.461531;6
graphs/graph_s45000_p25.grf;45000;24;18.946232;6
graphs/graph_s45000_p50.grf;45000;49;19.254499;6
graphs/graph_s45000_p75.grf;45000;74;19.036726;6
graphs/graph_s45500_p25.grf;45500;24;19.338301;6
graphs/graph_s45500_p50.grf;45500;49;19.977021;6
graphs/graph_s45500_p75.grf;45500;74;19.501488;6
graphs/graph_s46000_p25.grf;46000;24;19.928167;6
graphs/graph_s46000_p50.grf;46000;49;20.538798;6
graphs/graph_s46000_p75.grf;46000;74;19.796792;6
graphs/graph_s46500_p25.grf;46500;24;26.056068;6
graphs/graph_s46500_p50.grf;46500;49;25.588711;6
graphs/graph_s46500_p75.grf;46500;74;25.352016;6
graphs/graph_s47000_p25.grf;47000;24;26.587565;6
graphs/graph_s47000_p50.grf;47000;49;26.497985;6
graphs/graph_s47000_p75.grf;47000;74;26.381446;6
