graph_name;graph_size;graph_root;elapsed_time;implementation_type
graphs/graph_s1344_p40.grf;1344;878;0.021095;ST
graphs/graph_s1346_p40.grf;1346;12;0.020798;ST
graphs/graph_s1348_p40.grf;1348;167;0.025723;ST
graphs/graph_s134_p40.grf;134;121;0.000207;ST
graphs/graph_s1350_p40.grf;1350;1337;0.021773;ST
graphs/graph_s1352_p40.grf;1352;814;0.021666;ST
graphs/graph_s1354_p40.grf;1354;1286;0.023446;ST
graphs/graph_s1356_p40.grf;1356;37;0.020937;ST
graphs/graph_s1358_p40.grf;1358;1120;0.020960;ST
graphs/graph_s1360_p40.grf;1360;458;0.021038;ST
graphs/graph_s1362_p40.grf;1362;755;0.021480;ST
graphs/graph_s1364_p40.grf;1364;642;0.021588;ST
graphs/graph_s1366_p40.grf;1366;107;0.027246;ST
graphs/graph_s1368_p40.grf;1368;505;0.028072;ST
graphs/graph_s136_p40.grf;136;107;0.000219;ST
graphs/graph_s1370_p40.grf;1370;461;0.027026;ST
graphs/graph_s1372_p40.grf;1372;1334;0.021462;ST
graphs/graph_s1374_p40.grf;1374;372;0.021971;ST
graphs/graph_s1376_p40.grf;1376;600;0.022108;ST
graphs/graph_s1378_p40.grf;1378;1040;0.026155;ST
graphs/graph_s1380_p40.grf;1380;113;0.022227;ST
graphs/graph_s1382_p40.grf;1382;551;0.022652;ST
graphs/graph_s1384_p40.grf;1384;953;0.022627;ST
graphs/graph_s1386_p40.grf;1386;1295;0.023795;ST
graphs/graph_s1388_p40.grf;1388;166;0.022040;ST
graphs/graph_s138_p40.grf;138;121;0.000206;ST
graphs/graph_s1390_p40.grf;1390;314;0.027284;ST
graphs/graph_s1392_p40.grf;1392;330;0.022098;ST
graphs/graph_s1394_p40.grf;1394;190;0.022636;ST
graphs/graph_s1396_p40.grf;1396;1265;0.022833;ST
graphs/graph_s1398_p40.grf;1398;743;0.022419;ST
graphs/graph_s1400_p40.grf;1400;1392;0.023042;ST
graphs/graph_s1402_p40.grf;1402;392;0.022965;ST
graphs/graph_s1404_p40.grf;1404;519;0.033691;ST
graphs/graph_s1406_p40.grf;1406;350;0.022318;ST
graphs/graph_s1408_p40.grf;1408;1268;0.023298;ST
graphs/graph_s140_p40.grf;140;62;0.000222;ST
graphs/graph_s1410_p40.grf;1410;437;0.032574;ST
graphs/graph_s1412_p40.grf;1412;649;0.023182;ST
graphs/graph_s1414_p40.grf;1414;473;0.023153;ST
graphs/graph_s1416_p40.grf;1416;604;0.023116;ST
graphs/graph_s1418_p40.grf;1418;56;0.033557;ST
graphs/graph_s1420_p40.grf;1420;701;0.023051;ST
graphs/graph_s1422_p40.grf;1422;1088;0.023551;ST
graphs/graph_s1424_p40.grf;1424;1181;0.023301;ST
graphs/graph_s1426_p40.grf;1426;944;0.023757;ST
graphs/graph_s1428_p40.grf;1428;341;0.023815;ST
graphs/graph_s142_p40.grf;142;23;0.000228;ST
graphs/graph_s1430_p40.grf;1430;765;0.024466;ST
graphs/graph_s1432_p40.grf;1432;755;0.023438;ST
graphs/graph_s1434_p40.grf;1434;275;0.024438;ST
graphs/graph_s1436_p40.grf;1436;724;0.023781;ST
graphs/graph_s1438_p40.grf;1438;635;0.024557;ST
graphs/graph_s1440_p40.grf;1440;1411;0.024003;ST
graphs/graph_s1442_p40.grf;1442;140;0.023787;ST
graphs/graph_s1444_p40.grf;1444;1109;0.023649;ST
graphs/graph_s1446_p40.grf;1446;1404;0.024106;ST
graphs/graph_s1448_p40.grf;1448;989;0.024617;ST
graphs/graph_s144_p40.grf;144;91;0.000231;ST
graphs/graph_s1450_p40.grf;1450;919;0.029175;ST
graphs/graph_s1452_p40.grf;1452;815;0.025281;ST
graphs/graph_s1454_p40.grf;1454;501;0.037637;ST
graphs/graph_s1456_p40.grf;1456;1420;0.025329;ST
graphs/graph_s1458_p40.grf;1458;652;0.025292;ST
graphs/graph_s1460_p40.grf;1460;1097;0.025337;ST
graphs/graph_s1462_p40.grf;1462;1288;0.024668;ST
graphs/graph_s1464_p40.grf;1464;1213;0.025700;ST
graphs/graph_s1466_p40.grf;1466;860;0.025092;ST
graphs/graph_s1468_p40.grf;1468;217;0.025891;ST
graphs/graph_s146_p40.grf;146;95;0.000246;ST
graphs/graph_s1470_p40.grf;1470;741;0.025529;ST
graphs/graph_s1472_p40.grf;1472;955;0.025748;ST
graphs/graph_s1474_p40.grf;1474;847;0.025179;ST
graphs/graph_s1476_p40.grf;1476;405;0.025560;ST
graphs/graph_s1478_p40.grf;1478;1094;0.025436;ST
graphs/graph_s1480_p40.grf;1480;1429;0.025905;ST
graphs/graph_s1482_p40.grf;1482;1398;0.025695;ST
graphs/graph_s1484_p40.grf;1484;1288;0.025722;ST
graphs/graph_s1486_p40.grf;1486;690;0.025753;ST
graphs/graph_s1488_p40.grf;1488;37;0.026401;ST
graphs/graph_s148_p40.grf;148;96;0.000615;ST
graphs/graph_s1490_p40.grf;1490;812;0.027758;ST
graphs/graph_s1492_p40.grf;1492;33;0.025821;ST
graphs/graph_s1494_p40.grf;1494;674;0.025887;ST
graphs/graph_s1496_p40.grf;1496;1240;0.033380;ST
graphs/graph_s1498_p40.grf;1498;228;0.026456;ST
graphs/graph_s14_p40.grf;14;5;0.000007;ST
graphs/graph_s1500_p40.grf;1500;624;0.026341;ST
graphs/graph_s1502_p40.grf;1502;927;0.026291;ST
graphs/graph_s1504_p40.grf;1504;1131;0.027263;ST
graphs/graph_s1506_p40.grf;1506;1230;0.026868;ST
graphs/graph_s1508_p40.grf;1508;1218;0.026861;ST
graphs/graph_s150_p40.grf;150;96;0.000256;ST
graphs/graph_s1510_p40.grf;1510;1089;0.027696;ST
graphs/graph_s1512_p40.grf;1512;837;0.027539;ST
graphs/graph_s1514_p40.grf;1514;456;0.030794;ST
graphs/graph_s1516_p40.grf;1516;665;0.027492;ST
graphs/graph_s1518_p40.grf;1518;991;0.027141;ST
graphs/graph_s1520_p40.grf;1520;134;0.028815;ST
graphs/graph_s1522_p40.grf;1522;1130;0.027663;ST
graphs/graph_s1524_p40.grf;1524;939;0.027247;ST
graphs/graph_s1526_p40.grf;1526;1080;0.026644;ST
graphs/graph_s1528_p40.grf;1528;26;0.027644;ST
graphs/graph_s152_p40.grf;152;112;0.000284;ST
graphs/graph_s1530_p40.grf;1530;829;0.027473;ST
graphs/graph_s1532_p40.grf;1532;433;0.027677;ST
graphs/graph_s1534_p40.grf;1534;365;0.028745;ST
graphs/graph_s1536_p40.grf;1536;625;0.027633;ST
graphs/graph_s1538_p40.grf;1538;1213;0.027711;ST
graphs/graph_s1540_p40.grf;1540;590;0.028251;ST
graphs/graph_s1542_p40.grf;1542;291;0.028592;ST
graphs/graph_s1544_p40.grf;1544;316;0.027985;ST
graphs/graph_s1546_p40.grf;1546;665;0.028483;ST
graphs/graph_s1548_p40.grf;1548;1045;0.028390;ST
graphs/graph_s154_p40.grf;154;76;0.000268;ST
graphs/graph_s1550_p40.grf;1550;1375;0.028408;ST
